data:text/csv;charset=utf-8,
year,occupation_family,occupation_group,average_age,average_wage,wage,jobs,average_establishment_size,color,icon,ID CBO
2003,"Assistentes Administrativos","Trabalhadores de Serviços Administrativos",42,1087.69,1293089297.54,1188833,120,"#B7834B","/static/img/icons/occupation_group/occupation_group_4.png","4110"
2003,"Trabalhadores de Conservação de Estradas","Trabalhadores de Manutenção e Reparação",43,415.02,18627078.13,44882,40,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9922"
2003,"Lixeiros","Trabalhadores de Serviços e Comércio",43,362.31,142699164.91,393856,70,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5142"
2003,"Porteiros e Vigias","Trabalhadores de Serviços e Comércio",44,532.85,51832585.89,97273,23,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5174"
2003,"Motoristas de Veículos de Carga","Trabalhadores Especializados da Produção",43,712.59,15500318.51,21752,11,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7825"
2003,"Apontadores e Conferentes","Trabalhadores de Serviços Administrativos",43,793.13,784407.71,989,3,"#B7834B","/static/img/icons/occupation_group/occupation_group_4.png","4142"
2003,"Outros Profissionais de Ensino","Profissionais das Ciências e das Artes",42,1273.83,52089480.59,40892,15,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2394"
2003,"Supervisores Financeiros","Trabalhadores de Serviços Administrativos",39,982.35,2921510.95,2974,2,"#B7834B","/static/img/icons/occupation_group/occupation_group_4.png","4102"
2003,"Fiscais de Tributos","Profissionais das Ciências e das Artes",42,3988.12,139959346.63,35094,13,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2544"
2003,"Agentes de Saúde","Trabalhadores de Serviços e Comércio",35,412.93,35715345.49,86492,24,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5151"
2003,"Trabalhadores de Carga e Descarga de Mercadorias","Trabalhadores Especializados da Produção",41,420.7,258313.69,614,5,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7832"
2003,"Psicólogos e Psicanalistas","Profissionais das Ciências e das Artes",40,1556.36,18102058.34,11631,5,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2515"
2003,"Médicos","Profissionais das Ciências e das Artes",45,2227.24,304940733.04,136914,39,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2231"
2003,"Processadores de Dados","Trabalhadores de Serviços Administrativos",39,931.53,19100211.21,20504,9,"#B7834B","/static/img/icons/occupation_group/occupation_group_4.png","4121"
2003,"Advogados","Profissionais das Ciências e das Artes",41,4365.4,50516511.34,11572,3,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2410"
2003,"Professores do Ensino Fundamental 1","Profissionais das Ciências e das Artes",38,1055.07,567383038.29,537767,156,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2312"
2003,"Trabalhadores Agropecuários em Geral","Trabalhadores Agropecuários, Florestais e da Pesca",44,602.36,3422034.98,5681,34,"#105B10","/static/img/icons/occupation_group/occupation_group_6.png","6210"
2003,"Trabalhadores da Impressão Gráfica","Trabalhadores Especializados da Produção",46,1162.77,249995.78,215,2,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7662"
2003,"Técnicos de Planejamento e Controle de Produção","Técnicos de Nível Médio",41,1380.78,541267.63,392,2,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3911"
2003,"Administradores","Profissionais das Ciências e das Artes",44,2880.4,38413014.94,13336,9,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2521"
2003,"Diretores de Serviços de Saúde","Dirigentes",42,1299.58,6443336.36,4958,5,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1312"
2003,"Dirigentes do Serviço Público","Dirigentes",42,1505.21,559864745.91,371949,69,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1114"
2003,"Operadores de Telefonia","Trabalhadores de Serviços Administrativos",38,559.14,8022088.55,14347,4,"#B7834B","/static/img/icons/occupation_group/occupation_group_4.png","4222"
2003,"Almoxarifes","Trabalhadores de Serviços Administrativos",42,767.89,3695886.96,4813,3,"#B7834B","/static/img/icons/occupation_group/occupation_group_4.png","4141"
2003,"Mecânicos de Veículos Automotores","Trabalhadores de Manutenção e Reparação",43,814.49,3599237.76,4419,3,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9144"
2003,"Eletricistas de Manutenção Eletroeletrônica","Trabalhadores de Manutenção e Reparação",43,809.58,2096816.07,2590,2,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9511"
2003,"Técnicos em Administração","Técnicos de Nível Médio",41,1147.51,19538790.6,17027,19,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3513"
2003,"Técnicos em Operação de Emissoras de Rádio","Técnicos de Nível Médio",43,948.71,387075.66,408,4,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3731"
2003,"Contínuos","Trabalhadores de Serviços Administrativos",41,428.58,9660397.63,22540,18,"#B7834B","/static/img/icons/occupation_group/occupation_group_4.png","4122"
2003,"Gerentes Administrativos e Financeiros","Dirigentes",39,2059.08,22287561.46,10824,13,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1421"
2003,"Técnicos em Edificações","Técnicos de Nível Médio",42,913.23,4666610.26,5110,9,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3121"
2003,"Operadores de Máquinas a Vapor","Trabalhadores da Indústria",45,751.74,1695175.08,2255,7,"#FFC41C","/static/img/icons/occupation_group/occupation_group_8.png","8621"
2003,"Engenheiros Agrossilvipecuários","Profissionais das Ciências e das Artes",45,2685.99,15576066.95,5799,5,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2221"
2003,"Professores de Nível Médio na Educação Infantil","Técnicos de Nível Médio",36,678.43,48878481.49,72046,43,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3311"
2003,"Eletricistas Eletrônicos de Manutenção Veicular","Trabalhadores de Manutenção e Reparação",41,818.43,291363.44,356,1,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9531"
2003,"Bombeiros e Salva-vidas","Trabalhadores de Serviços e Comércio",37,556.52,801954.28,1441,6,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5171"
2003,"Biólogos","Profissionais das Ciências e das Artes",42,1733.32,7786081.72,4492,9,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2211"
2003,"Trabalhadores Aquaviários","Trabalhadores Especializados da Produção",44,654.84,239674.67,366,5,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7827"
2003,"Pintores de Obras e Interiores","Trabalhadores Especializados da Produção",44,681.59,1791910.24,2629,3,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7166"
2003,"Trabalhadores de Instalações Elétricas","Trabalhadores Especializados da Produção",43,710.39,3255018.42,4582,3,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7156"
2003,"Técnicos em Secretariado","Técnicos de Nível Médio",38,1207.14,13565841.27,11238,7,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3515"
2003,"Supervisores de Manutenção de Máquinas","Trabalhadores de Manutenção e Reparação",47,1022.66,244416.78,239,3,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9101"
2003,"Inspetores de Alunos","Técnicos de Nível Médio",44,616.41,31321190.4,50812,50,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3341"
2003,"Professores do Ensino Médio","Profissionais das Ciências e das Artes",41,1085.84,271259058.44,249814,188,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2321"
2003,"Operadores de Equipamentos de Movimentação de Cargas","Trabalhadores Especializados da Produção",44,929.2,304780.33,328,4,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7822"
2003,"Professores Leigos no Ensino Fundamental","Técnicos de Nível Médio",38,470.07,11522399.18,24512,29,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3321"
